professor,project_name,year_range,layer,one_liner,inputs_outputs,key_papers,code_url,reproducibility,prerequisites
성효진,DeNovo / DeNovoND / DeNovoSync,2010-2015,하드웨어 캐시 코히런스,Disciplined parallelism을 활용해 MESI 보다 단순하고 빠른 코히런스 프로토콜,입력: 병렬 프로그램 + 영역 정보 / 출력: 코히런스 트래픽이 줄어든 캐시,"PACT 2011, ASPLOS 2013, ASPLOS 2015",http://rsim.cs.uiuc.edu/denovo/,어려움 (gem5/SIMICS 시뮬레이터 필요),"컴퓨터구조, 캐시 코히런스, MESI/MOESI"
성효진,DPJ (Deterministic Parallel Java),2009-2010,프로그래밍 언어/타입시스템,결정적 병렬 자바 — region/effect 타입으로 데이터 레이스 컴파일 시점 차단,입력: DPJ 어노테이션 자바 / 출력: 결정적으로 실행되는 병렬 코드,OOPSLA 2009,http://dpj.cs.uiuc.edu/,중간 (Java 컴파일러 빌드),"PL 기초, type system, effect system"
성효진,Clang/LLVM OpenMP-on-GPU 통합,2015-2017,컴파일러 (Clang/LLVM upstream),OpenMP 4.5 target 지시문을 NVIDIA GPU에서 효율적으로 실행하도록 Clang/LLVM에 통합,입력: OpenMP target 지시문이 있는 C/C++/Fortran / 출력: GPU에서 동작하는 PTX,LLVM-HPC@SC 2015-2017 시리즈,LLVM upstream commits,중간 (LLVM 빌드),"OpenMP, LLVM, CUDA"
성효진,XLFLANG (Fortran OpenMP),2017,컴파일러 (IBM 내부),IBM XL Fortran의 IR을 Clang/LLVM 흐름에 연결한 IR-to-IR 번역기,입력: Fortran + OpenMP 4.5 / 출력: LLVM IR via Clang OpenMP 흐름,IWOMP 2017,IBM 내부 (closed),어려움 (IBM 환경 필요),"Fortran, LLVM, OpenMP"
성효진,CogR,2019,런타임 (ML for systems),OpenMP target 영역을 CPU 또는 GPU에서 실행할지 ML 모델로 결정,입력: 프로그램 구조 + 입력 크기 / 출력: 실행 디바이스 결정,PACT 2019 poster,IBM 내부,어려움 (학술 reimplementation 필요),"ML for systems, runtime, OpenMP"
성효진,MetaTune,2021,ML/컴파일러 (TVM),TVM autotuning에 meta-learning 비용 모델을 도입,입력: TVM tensor IR / 출력: 빠른 코드 + 메타학습된 cost model,arXiv 2021,(공개 미확인),중간,"TVM, meta-learning"
성효진,One-Shot Tuner,2022,ML/컴파일러 (TVM),NAS 기반 단일 패스 cost model로 autotuning 시간을 단축,입력: TVM IR / 출력: 빠르게 튜닝된 GPU 코드,CC 2022,https://doi.org/10.5281/zenodo.6337971,중간,"TVM, NAS, cost model"
성효진,Greedy-SO (Hybrid Register Allocation),2021,컴파일러 (LLVM),LLVM RA의 spill 비용과 패턴 기반 ILP를 결합한 하이브리드 RA,입력: LLVM IR / 출력: 더 적은 spill을 가진 머신 코드,LCPC 2021,LLVM 패치 (공개 검토 필요),중간,"LLVM, register allocation, ILP"
성효진,PIMFlow,2022-2023,컴파일러+런타임 (PIM-DRAM),TVM에 PIM-DRAM 백엔드를 통합해 GPU+PIM 협업으로 CNN을 가속,입력: ONNX/TF 모델 / 출력: GPU+PIM 분할 실행 계획,IEEE CAL 2022 + CGO 2023,https://github.com/yongwonshin/PIMFlow,중간 (시뮬레이터 환경 필요),"TVM, PIM, CNN"
성효진,XLA-NDP,2023,컴파일러 (XLA + NDP),XLA 컴파일러를 NDP-attached 메모리에 맞춰 학습 그래프를 분할,입력: XLA HLO / 출력: GPU+NDP 학습 스케줄,IEEE CAL 2023,(공개 미확인),어려움,"XLA, NDP, DL training"
